terms,categories_mm,categories_sm,consensus
advanced computational science,computer science,computer sciencd,computer science
aeronautics,aeronautics,aeronautics,aeronautics
aerospace,,,
aerospace engineering,aerospace engineering,aerospace engineering,aerospace engineering
agricultural and biological engineering,"agricultural engineering, biological engineering","agricultural engineering, biological engineering","agricultural engineering, biological engineering"
agricultural and biosystems engineering,"agricultural engineering, biosystems engineering","agricultural engineering, biosystems engineering","agricultural engineering, biosystems engineering"
agricultural economics,agricultural economics,agricultural economics,agricultural economics
agricultural engineering,agricultural engineering,agricultural engineering,agricultural engineering
agricultural science,agriculture science,agricultural science,agricultural science
agriculture,,,
agriculture and development,,,
agriculture science,agriculture science,agricultural science,agricultural science
agriculture-related disciplines,agriculture science,,agricultural science
agronomy,agronomy,agronomy,agronomy
analytical chemistry,analytical chemistry,analytical chemistry,analytical chemistry
animal science,animal science,animal science,animal science
anthropology,anthropology,antrhropology,anthropology
applied anthropology,applied anthropology,applied anthropology,applied anthropology
applied economics,applied economics,applied economics,applied economics
applied engineering,applied engineering,applied engineering,applied engineering
applied math,applied mathematics,applied mathematics,applied mathematics
applied mathematics,applied mathematics,applied mathematics,applied mathematics
applied mathematics and statistics,"applied mathematics, applied statistics","applied mathematics, statistics","applied mathematics, statistics"
applied mechanics,applied mechanics,applied mechanics,applied mechanics
applied physics,applied physics,applied physics,applied physics
archaeology,archaeology,archaeology,archaeology
architecture,architecture,architecture,architecture
art,,arts,art
artificial intelligence,,artificial intelligence,artificial intelligence
arts,arts,arts,art
arts and science,"art, science","arts, science","art, science"
astronautics,astronautics,astronautics,astronautics
astronomy,astronomy,astronomy,astronomy
astrophysics,astrophysics,astrophysics,astrophysics
atmospheric and marine science,"atmospheric science, marine science","atmospheric science, marine science","atmospheric science, marine science"
atmospheric science,atmospheric science,atmospheric science,atmospheric science
automotive engineering,automotive engineering,automotive engineering,automotive engineering
basic biomedical science,biomedical science,biomedical science,biomedical science
behavior genetics,behavior genetics,behavior genetics,behavior genetics
behavioral biology,behavioral biology,behavioral biology,behavioral biology
behavioral science,behavioral science,behavioral science,behavioral science
bio-environmental science,bio-environmental science,bio-environmental science,bio-environmental science
biochemical engineering,biochemical engineering,biochemical engineering,biochemical engineering
biochemistry,biochemistry,biochemistry,biochemistry
bioengineering,bioengineering,bioengineering,bioengineering
biogeochemistry,biogeochemistry,biogeochemistry,biogeochemistry
biogeoscience,biogeoscience,biogeoscience,biogeoscience
bioinformatics,bioinformatics,bioinformatics,bioinformatics
biological engineering,biological engineering,biological engineering,biological engineering
biological materials,,,
biological science,biological science,biology,biology
biology,biology,biology,biology
biomathematics,biomathematics,biomathematics,biomathematics
biomedical engineering,biomedical engineering,biomedical engineering,biomedical engineering
biomedical informatics,biomedical informatics,biomedical informatics,biomedical informatics
biomedical science,biomedical science,biomedicine,biomedicine
biomedicine,biomedicine,biomedicine,biomedicine
biometry,biometry,biometry,biometry
biomolecular engineering,biomolecular engineering,biomolecular engineering,biomolecular engineering
biomolecular science,biomolecular science,biomolecular science,biomolecular science
biophysical science,biophysics,biophysics,biophysics
biophysics,biophysics,biophysics,biophysics
biosystems,biosystems,,biosystems engineering
biosystems and agricultural engineering,"biosystems, agricultural engineering","biosystems engineering, agricultural engineering","biosystems engineering, agricultural engineering"
biosystems engineering,biosystems,biosystems engineering,biosystems engineering
biotechnology,,biotechnology,biotechnology
botany,botany,botany,botany
brain and cognitive science,"brain science, cognitive science","brain science, cognitive science","brain science, cognitive science"
business,,,
business administration,business administration,business administration,business administration
business analytics,business analytics,,business analytics
cell and developmental biology,"cellular biology, developmental biology","cell biology, developmental biology","cell biology, developmental biology"
cell biology,cellular biology,cell biology,cell biology
cellular and developmental biology,"cellular biology, developmental biology","cell biology, developmental biology","cell biology, developmental biology"
cellular biology,cellular biology,cell biology,cell biology
cellular gene regulation,cellular gene regulation,,
ceramic engineering,ceramic engineering,ceramic engineering,ceramic engineering
ceramics and materials engineering,"ceramic engineering, materials engineering","cearmic engineering, materials engineering","ceramic engineering, materials engineering"
