PaperID,NSF_Award_Number,Type,Diff_ZScore,AwardNumber,DOI,DocType,Year,Date,JournalID,ConferenceSeriesID,Citation_Count,C10,Reference_Count,C5,Team_Size,Institution_Count,Disruption,Atyp_10pct_Z,Atyp_Pairs,Atyp_Median_Z,SB_B,SB_T,Patent_Count,Newsfeed_Count,Tweet_Count,NCT_Count,NIH_Count,NSF_Count,WSB_mu,WSB_sigma,WSB_Cinf,JournalTitle,PaperTitle,BookTitle,Publisher,Volume,Issue,FirstPage,LastPage,OriginalVenue,FamilyID,RetractionType
42577429,NSF-1449815,First,NA,1449815,10.1016/J.COGNITION.2015.12.014,Journal,2016,3/1/16,88198767,NA,3,NA,28,3,2,1,-0.000355408,0.095146241,99,232.9007749,0,0,0,0,0,0,0,1,NA,NA,NA,Cognition,Effects of statistical learning on the acquisition of grammatical categories through Qur'anic memorization: A natural experiment.,,Cognition,148,NA,79,84,Cognition,NA,
46217771,NSF-9987555,First,NA,9987555,10.1096/FASEBJ.21.6.A1010-C,Journal,2007,4/1/07,25293849,NA,0,0,0,0,5,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,NA,NA,NA,The FASEB Journal,Multiple solvent crystal structures of RNAse A,,FASEB,21,6,,,The FASEB Journal,NA,
122259971,NSF-1922591,Second,0.088057618,1922591,,Conference,2007,6/6/07,NA,1190393634,9,8,0,5,2,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,2,NA,NA,NA,NA,Proceedings of the 7th international conference on New interfaces for musical expression,,,NA,NA,,,new interfaces for musical expression,NA,
164337820,NSF-1565215,Second,0.178431283,1565215,10.1007/978-3-642-30904-5_5,,2012,1/1/12,NA,NA,0,NA,37,0,2,1,NA,NA,NA,NA,NA,NA,0,0,0,0,0,2,NA,NA,NA,NA,Dynamic Trust Management: Network Profiling for High Assurance Resilience,,Springer Berlin Heidelberg,NA,NA,91,116,,NA,
264904740,NSF-1449815,First,NA,1449815,10.1109/JPROC.2015.2494118,,2016,1/1/16,NA,NA,11,NA,60,11,4,3,-0.000251214,NA,NA,NA,NA,NA,1,0,0,0,0,1,NA,NA,NA,NA,Learning Reductions That Really Work,,IEEE,104,1,136,147,Proceedings of the IEEE,264904740,
565175910,NSF-1450032,First,NA,1450032,10.1016/J.YMETH.2015.06.009,Journal,2015,9/1/15,73539393,NA,45,NA,51,41,3,2,-0.001623875,-11.9421377,502,90.23584006,-0.1375,1,0,0,1,0,2,1,NA,NA,NA,Methods,Integrating single-molecule experiments and discrete stochastic models to understand heterogeneous gene transcription dynamics,,Methods,85,NA,12,21,Methods,NA,
801546517,NSF-1069283,Crossref,NA,1069283,10.1016/J.CAMWA.2015.04.002,Journal,2015,10/1/15,73535193,NA,55,NA,126,46,6,4,-0.003051882,-0.601155515,190,51.39635666,0.833333333,1,0,0,0,0,0,2,NA,NA,NA,Computers & Mathematics With Applications,An interactive geometry modeling and parametric design platform for isogeometric analysis,,Pergamon,70,7,1481,1500,Computers & Mathematics With Applications,NA,
840035214,NSF-1069004,Crossref,NA,1069004,10.1016/J.COMPCHEMENG.2015.06.012,Journal,2015,12/5/15,150671403,NA,16,NA,18,14,2,1,6.99765578531192e-05,-9.181848545,49,28.85598422,0,0,0,0,0,0,0,2,NA,NA,NA,Computers & Chemical Engineering,Evolutionary algorithm for de novo molecular design with multi-dimensional constraints,,Pergamon,83,NA,267,277,Computers & Chemical Engineering,NA,
943227489,NSF-1545211,Second,0.145398647,1545211,,Conference,2012,1/1/12,NA,2898413487,0,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,2,NA,NA,NA,NA,"The 17th Annual Graduate Education and Graduate Student Research Conference in Hospitality and Tourism, Auburn, Alabama, 5-7 January, 2012.",,Auburn University,NA,NA,,,graduate education and graduate student research conference hospitality tourism,NA,
970680158,NSF-1068780,Crossref,NA,1068780,10.1103/PHYSREVLETT.114.228101,Journal,2015,6/2/15,24807848,NA,65,NA,0,53,3,2,NA,NA,NA,NA,-0.85,1,0,0,0,0,0,3,NA,NA,NA,Physical Review Letters,Propagating Stress Waves During Epithelial Expansion,,American Physical Society,114,22,228101,,Physical Review Letters,NA,
