Award,Sentence,Skill,Similarity Value
114264,"The program focuses on metabolic and tissue engineering and provides science and engineering students with rigorous educational and research training in the fields of bioengineering, biochemistry, and cell biology.",Applied Science,0.5399094223976135
114264,A co-supervision system is created in which students will have an advisor from the Department of Bioengineering and an advisor from the Department of Biochemistry and Cell Biology for guidance of mechanistic and design aspects of research projects.,Providing Consultation and Advice to Others,0.5639777779579163
114264,"The fundamental curriculum for IGERT trainees includes coverage of scientific ethics, advanced laboratory skills, basic biosciences (biochemistry and cell biology) and engineering systems analysis.",Education and Training,0.5104071497917175
114264,"The fundamental curriculum for IGERT trainees includes coverage of scientific ethics, advanced laboratory skills, basic biosciences (biochemistry and cell biology) and engineering systems analysis.",Biological Science,0.5299873948097229
114264,"The fundamental curriculum for IGERT trainees includes coverage of scientific ethics, advanced laboratory skills, basic biosciences (biochemistry and cell biology) and engineering systems analysis.",Applied Science,0.5558792352676392
114264,Student participants work in cooperative environments including team design projects and an industrial internship program with companies engaged in cellular engineering.,Establishing and Maintaining Interpersonal Relationships,0.5499136447906494
114264,Student participants work in cooperative environments including team design projects and an industrial internship program with companies engaged in cellular engineering.,Coordinating the Work and Activities of Others,0.5567609667778015
114264,This program is coordinated with a pre- and post internship seminar program to maximize the impact of the students' industrial experiences.,Instructional Program Required,0.5933661460876465
114264,"Building upon established strengths in interdisciplinary research and education, this training program creates a center of excellence in cellular engineering that will train researchers who can utilize advances in biological sciences to produce innovative and cost- effective biotechnological products in the 21st century.",Applied Science,0.5182526111602783
114304,"To achieve this, a new generation of professionals must be educated in a holistic fashion.",Required Level of Education,0.5355375409126282
114304,"To achieve this, a new generation of professionals must be educated in a holistic fashion.",Training and Teaching Others,0.5241705775260925
114304,"Fourth, students will complete an interdisciplinary graduate curriculum including biophysical and social sciences.",Applied Science,0.5109497308731079
114304,Professionals educated through this program will have the expertise to work effectively in interdisciplinary teams addressing the pressing scientific problems concerning management of the biosphere.,Science,0.5004454255104065
114319,"The program involves the departments of Biology, Chemistry, Chemical Engineering, Electrical Engineering, and Physics.",Applied Science,0.7064183950424194
114319,"(i) During the project interdisciplinary teams of graduate students will work on various aspects of the CORE research, comprising the design and development of methods and tools and their application in the fields of biology, chemistry, physics, and engineering.",Applied Science,0.6037108898162842
114319,"(ii) In addition to the current curricula in their respective departments, IGERT students will take a set of cross-disciplinary courses designed specifically for the program.",Required Level of Education,0.5010861158370972
114319,"(ii) In addition to the current curricula in their respective departments, IGERT students will take a set of cross-disciplinary courses designed specifically for the program.",Instructional Program Required,0.5624046921730042
114319,"(ii) In addition to the current curricula in their respective departments, IGERT students will take a set of cross-disciplinary courses designed specifically for the program.",Computer Science,0.5677503347396851
114319,"(ii) In addition to the current curricula in their respective departments, IGERT students will take a set of cross-disciplinary courses designed specifically for the program.",Applied Science,0.5051921010017395
114319,(iv) A weekly seminar will provide the students with training in technical writing and in presentations of their research in a multi-disciplinary environment.,Written Comprehension,0.5067135691642761
114319,(iv) A weekly seminar will provide the students with training in technical writing and in presentations of their research in a multi-disciplinary environment.,Written Expression,0.5233331322669983
114319,(iv) A weekly seminar will provide the students with training in technical writing and in presentations of their research in a multi-disciplinary environment.,Writing,0.5534577369689941
114319,(iv) A weekly seminar will provide the students with training in technical writing and in presentations of their research in a multi-disciplinary environment.,Instructing,0.5252854824066162
114319,(iv) A weekly seminar will provide the students with training in technical writing and in presentations of their research in a multi-disciplinary environment.,Instructional Program Required,0.5140012502670288
114319,"(v) Mentoring undergraduate students will foster team spirit and leadership skills and will help to recruit, retain, and involve undergraduates, in particular those from underrepresented minorities, in research.",Developing and Building Teams,0.5196401476860046
114319,"(v) Mentoring undergraduate students will foster team spirit and leadership skills and will help to recruit, retain, and involve undergraduates, in particular those from underrepresented minorities, in research.",Coaching and Developing Others,0.5791155695915222
114319,"(v) Mentoring undergraduate students will foster team spirit and leadership skills and will help to recruit, retain, and involve undergraduates, in particular those from underrepresented minorities, in research.",Staffing Organizational Units,0.5320166349411011
114319,The overall goal of our education and training activities is to produce a new cadre of engineers and scientists who are prepared to work in multidisciplinary environments.,Required Level of Education,0.5384702682495117
114319,The overall goal of our education and training activities is to produce a new cadre of engineers and scientists who are prepared to work in multidisciplinary environments.,Applied Science,0.5316750407218933
114319,The overall goal of our education and training activities is to produce a new cadre of engineers and scientists who are prepared to work in multidisciplinary environments.,"Organizing, Planning, and Prioritizing Work",0.5040368437767029
114319,The intellectual foci of this specific award reside in the Directorates for Mathematical and Physical Sciences; Engineering; Biological Sciences; and Education and Human Resources.,Applied Science,0.5509360432624817
114329,"Twenty-five faculty participants in this program are drawn from three different schools: Engineering (Civil, Mechanical, Chemical, Electrical Engineering and Computer Science, and Management of Technology), Management, and Arts and Sciences (Mathematics).",Instructional Program Required,0.5485634803771973
114329,"Twenty-five faculty participants in this program are drawn from three different schools: Engineering (Civil, Mechanical, Chemical, Electrical Engineering and Computer Science, and Management of Technology), Management, and Arts and Sciences (Mathematics).",Computer Science,0.5048414468765259
114329,"Twenty-five faculty participants in this program are drawn from three different schools: Engineering (Civil, Mechanical, Chemical, Electrical Engineering and Computer Science, and Management of Technology), Management, and Arts and Sciences (Mathematics).",Applied Science,0.6614075899124146
114329,"The research projects will apply these concepts to infrastructure, environmental, network, mechanical, and electronic systems.",Technology Design,0.5252887606620789
114329,"The research projects will apply these concepts to infrastructure, environmental, network, mechanical, and electronic systems.",Systems Skills,0.5193176865577698
114329,"The research projects will apply these concepts to infrastructure, environmental, network, mechanical, and electronic systems.",Engineering and Technology,0.5237686634063721
114329,"The research projects will apply these concepts to infrastructure, environmental, network, mechanical, and electronic systems.",Repairing and Maintaining Mechanical Equipment,0.5151568651199341
114329,"The research projects will apply these concepts to infrastructure, environmental, network, mechanical, and electronic systems.",Repairing and Maintaining Electronic Equipment,0.5239007472991943
114329,"The educational goals are to broaden the training with multidisciplinary perspectives, embed information technology, include model integration and high performance computing technologies, and increase the number and diversity of reliability and risk engineers and managers trained in the modeling and simulation methodology.",Learning Strategies,0.5165330171585083
114329,"The educational goals are to broaden the training with multidisciplinary perspectives, embed information technology, include model integration and high performance computing technologies, and increase the number and diversity of reliability and risk engineers and managers trained in the modeling and simulation methodology.",Education and Training,0.6119824647903442
114329,"The educational goals are to broaden the training with multidisciplinary perspectives, embed information technology, include model integration and high performance computing technologies, and increase the number and diversity of reliability and risk engineers and managers trained in the modeling and simulation methodology.",Required Level of Education,0.5477834343910217
114329,"The educational goals are to broaden the training with multidisciplinary perspectives, embed information technology, include model integration and high performance computing technologies, and increase the number and diversity of reliability and risk engineers and managers trained in the modeling and simulation methodology.",Instructional Program Required,0.5242300629615784
114329,"The educational goals are to broaden the training with multidisciplinary perspectives, embed information technology, include model integration and high performance computing technologies, and increase the number and diversity of reliability and risk engineers and managers trained in the modeling and simulation methodology.",Applied Science,0.5180090665817261
114329,"The educational goals are to broaden the training with multidisciplinary perspectives, embed information technology, include model integration and high performance computing technologies, and increase the number and diversity of reliability and risk engineers and managers trained in the modeling and simulation methodology.",Training and Teaching Others,0.5662914514541626
114329,"The educational goals are to broaden the training with multidisciplinary perspectives, embed information technology, include model integration and high performance computing technologies, and increase the number and diversity of reliability and risk engineers and managers trained in the modeling and simulation methodology.",Coaching and Developing Others,0.5253874063491821
114329,"A number of strategies are proposed to achieve these objectives: multidisciplinary coursework and dissertation topics, laboratory rotations, industry and government laboratory internships, seminars, workshops, case studies, training in professional communication and ethics, undergraduate and high school teacher participants, aggressive recruitment (especially among underrepresented groups), and systematic evaluation by industry, government and academia.",Required Level of Education,0.5046623945236206
114329,"A number of strategies are proposed to achieve these objectives: multidisciplinary coursework and dissertation topics, laboratory rotations, industry and government laboratory internships, seminars, workshops, case studies, training in professional communication and ethics, undergraduate and high school teacher participants, aggressive recruitment (especially among underrepresented groups), and systematic evaluation by industry, government and academia.",Applied Science,0.5035806894302368
114329,"A number of strategies are proposed to achieve these objectives: multidisciplinary coursework and dissertation topics, laboratory rotations, industry and government laboratory internships, seminars, workshops, case studies, training in professional communication and ethics, undergraduate and high school teacher participants, aggressive recruitment (especially among underrepresented groups), and systematic evaluation by industry, government and academia.",Developing Objectives and Strategies,0.6132240891456604
114329,"A number of strategies are proposed to achieve these objectives: multidisciplinary coursework and dissertation topics, laboratory rotations, industry and government laboratory internships, seminars, workshops, case studies, training in professional communication and ethics, undergraduate and high school teacher participants, aggressive recruitment (especially among underrepresented groups), and systematic evaluation by industry, government and academia.","Organizing, Planning, and Prioritizing Work",0.5582133531570435
114329,"A number of strategies are proposed to achieve these objectives: multidisciplinary coursework and dissertation topics, laboratory rotations, industry and government laboratory internships, seminars, workshops, case studies, training in professional communication and ethics, undergraduate and high school teacher participants, aggressive recruitment (especially among underrepresented groups), and systematic evaluation by industry, government and academia.","Coordinating, Developing, Managing, and Advising",0.5057295560836792
114329,"A number of strategies are proposed to achieve these objectives: multidisciplinary coursework and dissertation topics, laboratory rotations, industry and government laboratory internships, seminars, workshops, case studies, training in professional communication and ethics, undergraduate and high school teacher participants, aggressive recruitment (especially among underrepresented groups), and systematic evaluation by industry, government and academia.",Providing Consultation and Advice to Others,0.5533742904663086
114329,"The intellectual foci of this specific award reside in the Directorates for Engineering; Social, Behavioral, and Economic Sciences; Computer and Information Science and Engineering; Mathematical and Physical Sciences; and Education and Human Resources.",Applied Science,0.5084031820297241
114330,A cross-disciplinary curriculum will be developed that will provide Ph.D and Masters degree graduates with the ability to cross the existing boundaries between the many areas of biophotonics.,Required Level of Education,0.5281437039375305
